Agricola,1,5,150,https://cf.geekdo-images.com/original/img/L-UBO3rBOmvIrZHZLSXOypyAUPw=/0x0/pic259085.jpg
Aristo-Maze,3,4,80,https://cf.geekdo-images.com/original/img/MIfJ_mIaD_3xz7hQC1klhjYivP8=/0x0/pic2022834.jpg
En Garde,2,2,30,https://cf.geekdo-images.com/original/img/ayaWeezVKGhrNlu8ndWcMekHOvg=/0x0/pic620883.jpg
Legends of Andor,2,4,90,https://cf.geekdo-images.com/original/img/mIYkOMtGopRZ52JU0lzMq5jKO_o=/0x0/pic2606106.jpg
Elfenland,2,6,60,https://cf.geekdo-images.com/original/img/M3fRcs2sKpffc7Yl1KXodvbBa5Q=/0x0/pic1798136.jpg
Palastgeflüster,3,5,45,https://cf.geekdo-images.com/original/img/hYOsIohDm3UHT4wp_exvKcO_PCQ=/0x0/pic2740759.jpg
Phantoms vs Phantoms,2,2,15,https://cf.geekdo-images.com/original/img/0EDYB5nNssF7jq0kFG-omtCguB8=/0x0/pic1736427.jpg
Catan,3,4,120,https://cf.geekdo-images.com/original/img/A-0yDJkve0avEicYQ4HoNO-HkK8=/0x0/pic2419375.jpg
Carcassonne,2,5,45,https://cf.geekdo-images.com/original/img/o4p6f88SGE899BTNMzTvERVWZ-M=/0x0/pic2337577.jpg
Camel Up,2,8,30,https://cf.geekdo-images.com/original/img/EabhoQOn-hB-i3eclgtDqXcgtCs=/0x0/pic2031446.png
Phantom Detectives,3,4,60,https://cf.geekdo-images.com/original/img/33VoVnRhNbxblC_AOvd6pma5PF4=/0x0/pic2344456.jpg
Colt Express,2,6,40,https://cf.geekdo-images.com/original/img/n9uCTxxSSZXPVnXRPSgGl6uZQ2w=/0x0/pic2869710.jpg
Concept,4,12,40,https://cf.geekdo-images.com/original/img/BuU0gJueE-UDGQjsYvQ2jbFVEaM=/0x0/pic1907628.jpg
Exit: The Game – The Pharaoh's Tomb,1,6,90,https://cf.geekdo-images.com/original/img/S-KoKj_1SWARBoGaSpjrbTWIm0g=/0x0/pic3332423.jpg
Sakura Arms,2,2,20,https://cf.geekdo-images.com/original/img/2x148xymyzHBW2q3wXPEvaYsaOA=/0x0/pic3545811.jpg
Secret Moon,5,8,10,https://cf.geekdo-images.com/original/img/q6lVRhQaXFpd0_TEVRA812BYQBg=/0x0/pic2263739.jpg
Shephy,1,1,15,https://cf.geekdo-images.com/original/img/csQ7uJFZ3opoWXuuczMe-XVO7NM=/0x0/pic2785780.jpg
Zombie Tower 3D,3,4,60,https://cf.geekdo-images.com/original/img/bb1ZIiXq_Z36eB77XUdrBSxCMP8=/0x0/pic2802561.jpg
The Staufer Dynasty,2,5,90,https://cf.geekdo-images.com/original/img/6hFXR1wiAIDJ1hvL5T8bv4Ml1Ic=/0x0/pic2256945.png
Spot it!,2,8,15,https://cf.geekdo-images.com/original/img/fJBN3LBat3v7hhBuaaVXE-ZrD9s=/0x0/pic1203476.jpg
National Economy,1,4,45,https://cf.geekdo-images.com/original/img/y9qqnRChGYcFlDvnKRlwkONdyng=/0x0/pic3428709.jpg
Battle Line,2,2,30,https://cf.geekdo-images.com/original/img/LzLbfz1zXw9P-T27k-nhjDddHvE=/0x0/pic149717.jpg
Hanabi,2,5,25,https://cf.geekdo-images.com/original/img/Wkrf8z3pMlOFKwxafbw9-Ob404s=/0x0/pic2007286.jpg
Paranoia,2,4,10,https://cf.geekdo-images.com/original/img/FTNk78kNPGF8QGjkUiN8bzVoT6I=/0x0/pic876477.jpg
Admiral's Order: Naval Tactics in the Age of Sail – All Hands!,2,4,120,https://cf.geekdo-images.com/original/img/ywOA9k-WYVKXDcNyBlyIECQ5R0I=/0x0/pic2225116.jpg
Verräter,3,4,60,https://cf.geekdo-images.com/original/img/KzSrzFXv6SWbFeQXpDSp0mrK3IE=/0x0/pic172332.jpg
Auction Blocks,3,5,60,
Pecunia,2,4,60,https://cf.geekdo-images.com/original/img/19_L_JyzzswwgmnqYXgR6qho6aA=/0x0/pic2039472.jpg
Friday the 13th,3,6,30,https://cf.geekdo-images.com/original/img/GkCULqHBcC8V7vHcIrb_C1rASaQ=/0x0/pic2032115.jpg
Machi Koro,2,4,30,https://cf.geekdo-images.com/original/img/FpPrHXjhYhRQmhGAiHFX3-DFdtU=/0x0/pic1992476.jpg
Mansions of Madness,2,5,120,https://cf.geekdo-images.com/original/img/HkKBPt3TEflR6A4QIDvrYlZeMNI=/0x0/pic814011.jpg
Mamma Mia!,2,5,30,https://cf.geekdo-images.com/original/img/6cIB9eeKT0uLtv-n456t8aKIvfM=/0x0/pic2824027.jpg
Bernini Mysterie,2,4,15,https://cf.geekdo-images.com/original/img/0revDkoaLOesu5dZ019y21OmGDc=/0x0/pic88237.jpg
Wie ich die Welt sehe...,2,9,30,https://cf.geekdo-images.com/original/img/GIvSii4AsebkWsmP-jlqEEfXatE=/0x0/pic249465.jpg
BrainBox: Once Upon a Time,1,0,10,https://cf.geekdo-images.com/original/img/t8CLMO3_lZXj8kDgRuB9wHfqARU=/0x0/pic1345634.jpg
Coyote,3,6,30,https://cf.geekdo-images.com/original/img/J_5qAyp9co4JjuNbhOf9sd4MOaI=/0x0/pic33850.jpg
Inferno,3,7,20,https://cf.geekdo-images.com/original/img/BxuKp9fC2teCecv1MpKGd3v4KvQ=/0x0/pic901715.jpg
Toddles-Bobbles,2,6,15,https://cf.geekdo-images.com/original/img/IQF7V1JZFdXgsyI6frYB4qCr2WU=/0x0/pic3500669.jpg
